№,Услуга,Срок (ч),Стоимость (₽)
1,"Создание интернет-магазина (шаблон, каталог, корзина, базовый checkout)",120,600 000
2,Кастомный дизайн каталога и карточки товара,48,240 000
3,Верстка и адаптивность (кроссбраузерная),80,400 000
4,"Модуль управления товарами (CRUD, категории, атрибуты)",60,300 000
5,"Импорт/экспорт товаров (CSV, XLSX)",24,120 000
6,Поиск по сайту с подсказками (autocomplete),30,150 000
7,Фильтры и сортировка (многофильтровый поиск),40,200 000
8,"Интеграция платёжных шлюзов (эквайринг, карты)",24,120 000
9,"Интеграция платёжных систем (PayPal, Apple Pay, Google Pay)",20,100 000
10,Интеграция служб доставки и расчёт стоимости,30,150 000
11,Оформление заказа и мульти-адреса доставки,24,120 000
12,"Личный кабинет пользователя (история заказов, возвраты)",40,200 000
13,Регистрация/авторизация через соцсети и SSO,20,100 000
14,Поддержка продуктовых вариантов (размер/цвет) и SKU,30,150 000
15,"Система скидок, купонов и промо-правила",30,150 000
16,Подписки и recurring payments,40,200 000
17,Интеграция с CRM (синхронная отправка лидов/заказов),24,120 000
18,Интеграция с 1C / ERP (базовая синхронизация),40,200 000
19,Управление остатками и склад (basic WMS),36,180 000
20,Обработка возвратов и RMA,20,100 000
21,Отзывы и рейтинги товаров,16,80 000
22,"Рекомендательные блоки (similar, upsell, cross-sell)",24,120 000
23,PWA / офлайн-кеширование,60,300 000
24,Мультиязычность и мультивалютность,36,180 000
25,Интеграция с маркетплейсами (Yandex/WB/Ozon) — базово,40,200 000
26,Подключение аналитики и e-commerce отчетов (GA4),20,100 000
27,"Подготовка товарных фидов (XML, YML) для маркетплейсов",20,100 000
28,"Оптимизация скорости (caching, CDN, критический CSS)",40,200 000
29,Оптимизация изображений и lazy-loading,18,90 000
30,Видео-презентации в карточках товаров,12,60 000
31,Live-chat / онлайн-консультант интеграция,16,80 000
32,Чат-бот для продаж (базовый сценарий),24,120 000
33,"Безопасность: OWASP, защита от ботов, rate-limiting",24,120 000
34,"Тестирование (функциональное, e2e)",40,200 000
35,"Деплой, настройка CI/CD и мониторинг",24,120 000
36,Бэкапы и DR-план,12,60 000
37,Документация и обучение клиента,16,80 000
38,Миграция данных со старого магазина,40,200 000
39,А/В тестирование каталога и карточек товара,24,120 000
