№,Услуга,Срок (ч),Стоимость (₽)
1,"Создание простого лендинга (шаблон, адаптив, 1 экран + контент)",12,60 000
2,Дизайн «герой»-баннера (кастомная графика),6,30 000
3,Адаптивная верстка (доп. сложные точки и отладка),8,40 000
4,Форма обратной связи с валидацией и отправкой (e-mail/CRM),4,20 000
5,Слайдер/карусель с анимацией и lazy-load,6,30 000
6,"Микроанимации (hover, transitions, интерактив)",6,30 000
7,Параллакс / скролл-анимации,5,25 000
8,Интеграция с CRM (webhook/API),6,30 000
9,"Подключение аналитики и трекинга (GA4, GTM, цели)",3,15 000
10,"SEO — базовая оптимизация (meta, schema, скорость)",4,20 000
11,Мультиязычность (каждый дополнительный язык),4,20 000
12,Оптимизация скорости и критического рендера (Lighthouse),6,30 000
13,Интеграция карты (Google/OSM) и контактная карта,2,10 000
14,Экспорт/подключение к CMS (простая админка / headless),8,40 000
15,Подготовка изображений / ретушь и оптимизация для веба,6,30 000
