№,Услуга,Срок (ч),Стоимость (₽)
1,"Создание корпоративного сайта (шаблон, ~5 стр., адаптив)",40,200 000
2,"Кастомный дизайн (UI/UX, 2 макета)",32,160 000
3,Верстка и кроссбраузерная адаптивность,24,120 000
4,Блог / новостной раздел с CMS,16,80 000
5,Базовая админ-панель (редактирование контента),32,160 000
6,Форма обратной связи / заявки с валидацией и отправкой,6,30 000
7,"Интеграция с CRM / почтой (webhook, API)",10,50 000
8,Поиск по сайту и фильтры,8,40 000
9,"Базовое SEO (meta, schema, оптимизация контента)",8,40 000
10,Интерактивные блоки и анимации (кастом),12,60 000
11,Мультиязычность (каждый доп. язык),8,40 000
12,"Интеграция аналитики и маркетинга (GA4, GTM, пиксели)",6,30 000
13,"Оптимизация скорости и доступности (Lighthouse, a11y)",12,60 000
14,Подключение чат-бота / онлайн-консультанта,10,50 000
15,"Тестирование, деплой и настройка CI/CD",10,50 000
16,"Структура и IA (sitemap, wireframes)",8,40 000
17,Контент-стратегия и подготовка текстов (вкл. микро-копии),16,80 000
18,Миграция контента из старого сайта,20,100 000
19,Интеграция SSO / корпоративной авторизации,12,60 000
20,Раздел вакансий с формой отклика (карьера),6,30 000
21,Портфолио / кейсы с кастомной фильтрацией,10,50 000
22,Медиа-галерея и оптимизация видео/изображений,8,40 000
23,"Форма с загрузкой файлов (CV, документы)",6,30 000
24,"Правовая и GDPR-совместимость (cookie, consent)",8,40 000
25,Резервное копирование и восстановление (бэкапы),6,30 000
26,"Настройка SSL, мониторинга и uptime",4,20 000
27,"Продвинутое SEO (структурированные данные, sitemap.xml)",10,50 000
28,Настройка A/B тестов (основная логика),12,60 000
29,Обучение клиента и документация (видео/гайд),8,40 000
30,Интеграции соц.сетей / RSS / кнопки шаринга,6,30 000
